gender,injury,meansev,contribution
Female,1,4,1
Male,,,1
Male,1,3,0
Male,1,4,1
Male,1,4,0
Female,1,3,0
Female,1,4,0
Female,1,3,0
Female,1,3,1
Male,1,4,1
Male,1,4,1
Male,1,3,0
Female,1,3,0
Female,1,3,1
Male,1,3,1
Male,1,2,1
Male,1,3,1
Female,1,4,0
Male,1,4,0
Female,1,4,1
Male,1,3,0
Male,1,4,0
Female,1,4,1
Male,1,4,1
Female,1,4,0
Male,,,0
Female,1,3,0
Female,1,4,1
Male,1,3,1
Female,1,4,1
Male,1,3,1
Female,1,3,1
Female,1,4,1
Female,1,3,1
Male,1,4,0
Male,1,3,1
Female,1,4,1
Female,1,3,0
Male,1,4,1
Male,1,4,1
Male,1,4,0
Female,1,4,1
Male,1,4,1
Male,1,3,1
Female,1,4,0
Male,1,4,1
Male,1,4,1
Female,1,2,1
Female,1,4,0
Female,1,4,0
Female,1,4,0
Female,1,3,1
Male,1,3,1
Female,1,4,0
Male,1,4,1
Female,1,3,1
Male,1,2,0
Female,1,4,1
Male,1,2,0
Female,1,4,1
Female,1,4,0
Male,1,3,1
Female,1,4,1
Male,1,4,0
Male,,,1
Male,1,3,1
Male,1,3,0
Male,1,3,0
Female,1,4,1
Female,1,4,1
Male,1,4,1
Female,1,3,1
Female,1,4,0
Female,1,4,1
Female,1,4,1
Female,1,3,1
Female,1,4,0
Female,1,3,0
Female,1,3,0
Male,1,2,1
Male,1,4,1
Male,1,4,0
Male,1,4,1
Male,1,4,1
Female,1,3,1
Male,1,2,0
Female,1,3,1
Male,1,4,0
Female,1,3,1
Male,1,4,1
Female,1,4,0
Male,1,4,1
Male,1,4,0
Female,1,4,1
Male,1,3,1
Female,1,3,1
Male,1,4,1
Male,1,3,0
Female,1,3,1
Female,1,4,1
Female,1,4,1
Male,1,4,1
Male,1,4,1
Female,1,4,0
Female,1,4,0
Male,1,2,1
Male,1,4,1
Female,1,4,0
Female,1,4,0
Female,1,4,0
Male,1,3,1
Female,1,4,1
Female,1,3,1
Female,1,4,0
Female,1,4,0
Male,1,3,1
Male,1,4,0
Male,1,3,1
Male,1,3,0
Female,1,3,1
Female,,,1
Male,1,2,1
Male,1,3,1
Male,1,4,0
Male,1,4,1
Female,1,4,1
Male,1,4,1
Male,1,4,0
Female,1,3,0
Female,1,4,1
Male,1,4,1
Male,1,3,1
Female,1,4,1
Female,1,4,1
Male,1,3,0
Male,1,3,0
Female,1,3,1
Male,1,2,1
Male,1,2,1
Male,1,4,0
Female,1,3,1
Male,1,2,1
Female,1,3,1
Female,1,4,0
Male,1,4,1
Male,1,3,1
Male,1,4,0
Male,1,4,0
Female,1,2,1
Female,1,4,1
Male,1,3,0
Female,1,3,0
Female,1,4,0
Female,1,4,1
Male,1,3,0
Female,1,3,1
Male,1,3,1
Male,1,4,1
Female,1,4,1
Male,1,4,1
Male,1,3,0
Female,1,4,1
Male,1,3,1
Female,1,3,1
Male,1,3,1
Female,1,3,1
Male,1,3,1
Male,1,3,1
Male,1,4,1
Female,1,2,1
Male,1,3,1
Male,1,4,1
Male,1,3,1
Female,1,3,0
Female,1,3,1
Male,1,4,1
Female,1,3,0
Female,1,3,1
Female,1,,1
Female,1,4,1
Male,1,2,1
Male,1,3,0
Female,1,4,1
Female,1,4,1
Female,1,4,1
Male,1,4,0
Female,1,4,0
Male,1,3,1
Male,1,3,1
Female,1,4,1
Male,1,4,1
Male,1,4,0
Male,1,2,1
Female,1,4,1
Male,1,2,0
Female,1,4,0
Male,1,4,1
Male,1,4,0
Female,1,3,1
Female,1,4,1
Male,1,3,1
Male,1,4,0
Male,1,4,1
Male,0,5,1
Male,1,4,0
Male,1,4,1
Male,1,3,1
Male,1,3,0
Male,1,3,1
Male,1,4,1
Male,1,3,0
Male,1,4,0
Female,1,2,1
Male,1,4,0
Female,1,3,0
Female,1,4,1
Male,1,4,1
Male,1,4,1
Male,1,3,1
Male,1,3,0
Female,1,4,0
Female,1,4,1
Female,1,1,0
Female,1,4,1
Male,,,0
Male,1,3,1
Female,1,3,0
Male,1,3,1
Female,1,3,1
Male,1,3,0
Female,1,4,1
Female,1,4,1
Female,1,3,1
Female,1,3,1
Male,1,4,1
Female,1,4,1
Female,1,4,1
Male,1,3,1
Female,1,3,1
Male,1,3,1
Male,1,3,1
Male,1,4,1
Female,1,3,1
Male,1,4,0
Male,1,4,0
Female,1,3,0
Female,1,3,1
Male,1,4,1
Male,1,3,1
Male,1,4,0
Female,1,4,1
Female,1,4,1
Male,1,2,1
Female,1,4,1
Female,1,4,1
Male,1,3,1
Male,1,3,0
Female,1,4,1
Female,1,4,1
Male,1,2,1
Female,1,4,1
Male,1,4,0
Female,1,4,1
Female,1,4,0
Male,1,3,1
Female,1,4,1
Female,1,4,0
Female,1,4,1
Male,1,4,0
Male,1,4,0
Male,1,2,1
Male,1,4,1
Male,1,3,1
Male,1,4,0
Male,1,2,1
Male,1,4,1
Female,1,4,0
Female,1,4,0
Male,1,4,0
Male,1,3,1
Female,1,2,1
Male,1,4,1
Female,1,4,0
Female,1,3,1
Female,,,0
Female,1,3,1
Male,1,4,0
Female,1,3,0
Male,1,4,1
Female,1,2,1
Male,1,3,1
Female,1,3,1
Male,1,4,1
Male,1,3,1
Male,1,3,0
Female,1,4,0
Female,1,4,0
Male,1,3,1
Female,1,4,1
Female,1,2,1
Female,1,3,0
Male,1,3,1
Male,,,1
Female,1,4,0
Female,1,4,0
Female,1,4,1
Female,1,4,0
Female,1,4,0
Male,1,4,1
Male,1,3,1
Female,1,4,0
Male,1,4,0
Male,1,4,0
Male,1,3,1
Male,1,4,1
Male,1,4,0
Female,1,4,1
Female,1,4,1
Male,1,4,1
Male,1,4,1
Female,1,3,0
Female,1,4,1
Female,1,3,1
Female,1,4,0
Female,1,3,1
Male,1,4,1
Female,1,3,1
Male,1,4,1
Male,1,4,1
Female,1,4,1
Male,1,3,1
Female,1,4,1
Male,1,4,1
Female,1,4,1
Male,1,3,0
Female,1,3,0
Female,1,3,1
Female,1,4,1
Male,1,3,1
Male,1,3,1
Male,1,3,1
Male,1,3,0
Male,1,3,0
Female,1,3,1
Female,1,3,1
Male,1,3,0
Female,1,2,1
Male,1,4,0
Female,1,4,0
Male,1,3,1
Male,1,3,1
Female,1,4,1
Male,1,4,0
Female,1,2,1
Male,1,4,1
Male,1,3,0
Female,1,3,1
Male,1,4,1
Female,1,4,1
Male,1,3,0
Male,1,3,1
Female,1,3,0
Female,1,4,0
Male,1,3,1
Female,1,4,1
Male,1,3,0
Female,1,4,1
Female,1,4,1
Female,1,4,0
Male,1,3,1
Male,1,3,1
Male,1,4,1
Female,1,4,1
Male,1,3,0
Female,1,4,0
Male,1,3,1
Male,1,4,0
Female,1,4,0
Female,1,4,1
Female,1,4,1
Female,1,4,0
Female,1,4,0
Male,1,3,0
Female,1,4,1
Male,1,4,1
Male,1,4,1
Female,1,3,1
Male,1,4,0
Female,1,4,1
Male,1,3,1
Male,1,3,0
Male,1,2,1
Female,1,4,1
Female,1,4,1
Female,1,4,1
Female,1,4,0
Male,1,2,1
Male,1,4,1
Female,1,3,0
Female,1,3,1
Female,1,4,1
Male,1,4,1
